"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"09.325.109/0001-73";21970;"AUTOPISTA PLANALTO SUL SA"
"09.336.431/0001-06";21962;"AUTOPISTA REGIS BITTENCOURT SA"
"40.281.347/0001-74";20311;"AUTOTRAC COMERCIO E TELECOMUNICAÇÕES"
"02.679.185/0001-38";21822;"AUTOVIAS S/A"
"51.996.601/0001-37";655;"AUXILIAR LEASING SA ARR MERC"
"46.047.288/0001-50";11924;"AUXILIAR SA PARTICIPACOES"
"15.011.696/0001-29";23973;"AVAL SECURITIZADORA DE CREDITOS S.A."
"54.649.819/0001-03";12483;"AVARA SA"
"61.351.532/0001-68";11975;"AZEVEDO & TRAVASSOS SA"
"09.305.994/0001-29";24112;"AZUL S.A."
"09.346.601/0001-25";21610;"B3 S.A. - BRASIL, BOLSA, BALCÃO"
"09.346.601/0001-25";21610;"B3 S.A. - BRASIL, BOLSA, BALCÃO"
"15.195.464/0001-78";680;"BACRAFT SA INDUSTRIA DE PAPEL"
"04.781.143/0001-39";19607;"BAESA-ENERGETICA BARRA GRANDE SA"
"13.605.696/0001-21";698;"BAHEMA AGROPECUARIA SA"
"45.987.245/0001-92";701;"BAHEMA EDUCACAO S.A."
"96.832.365/0001-51";18155;"BAHEMA EQUIPAMENTOS SA"
"15.258.023/0001-78";710;"BAHIA OTHON PALACE HOTEL SA"
"01.554.970/0001-00";16098;"BAHIA TRUST DE RECEBIVEIS"
"09.462.852/0001-75";21571;"BALADARE PARTICIPAÇÕES S/A"
"76.659.101/0001-30";752;"BAMERINDUS SA CRED IMOBILIARIO"
"75.170.076/0001-64";760;"BAMERINDUS SA FINANC CRED INV"
"76.543.156/0001-80";744;"BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL"
"28.195.667/0001-06";20958;"BANCO ABC BRASIL S/A"
"10.664.513/0001-50";24465;"BANCO AGIBANK S.A."
"24.986.770/0001-13";779;"BANCO AGRIMISA SA"
"60.770.336/0001-65";1384;"BANCO ALFA DE INVESTIMENTO S.A."
"33.870.163/0001-84";15512;"BANCO ALVORADA S.A."
"76.543.115/0001-94";825;"BANCO BAMERINDUS BRASIL SA"
"63.090.609/0001-19";833;"BANCO BANDEIRANTES DE INVESTIMENTOS SA"
"15.142.490/0001-38";1066;"BANCO BANEB SA"
"76.492.172/0001-91";1180;"BANCO BANESTADO SA"
"10.781.532/0001-67";1473;"BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL"
"60.898.723/0001-81";957;"BANCO BCN S.A."
"04.562.120/0001-33";1139;"BANCO BEA SA"
"01.540.541/0001-75";1074;"BANCO BEG S.A."
"61.186.680/0001-74";1716;"BANCO BMG S/A"
"61.186.680/0001-74";24600;"BANCO BMG S/A"
"33.485.541/0001-06";850;"BANCO BOAVISTA INTERATLÂNTICO S.A."
"15.114.366/0001-69";930;"BANCO BOCOM BBM S.A."
"71.027.866/0001-34";20869;"BANCO BONSUCESSO S.A."
"06.271.464/0001-19";1163;"BANCO BRADESCO BBI S.A."
"33.147.315/0001-15";1201;"BANCO BRADESCO BERJ S.A."
"60.746.948/0001-12";906;"BANCO BRADESCO S.A."
"30.306.294/0001-45";22616;"BANCO BTG PACTUAL S/A"
"33.349.358/0001-83";11380;"BANCO CACIQUE SA"
"07.814.999/0001-51";1031;"BANCO COMERCIAL BANCESA S.A."
"61.230.165/0001-44";787;"BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A."
"21.562.962/0001-04";949;"BANCO CREDITO REAL DE MG SA"
"52.940.350/0001-31";795;"BANCO CREFISUL S.A."
"04.902.979/0001-44";922;"BANCO DA AMAZÔNIA S.A."
"62.232.889/0001-90";20796;"BANCO DAYCOVAL S.A."
"10.866.788/0001-77";1090;"BANCO DE PERNAMBUCO S.A. - BANDEPE"
"15.163.587/0001-27";981;"BANCO DESENV ESTADO BAHIA SA"
"00.000.000/0001-91";1023;"BANCO DO BRASIL S.A."
"03.468.907/0001-78";12467;"BANCO DO ESTADO DE MATO GROSSO S.A."
"83.876.003/0001-10";1104;"BANCO DO ESTADO DE SANTA CATARINA S/A - BESC"
"61.411.633/0001-87";1112;"BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA"
"13.009.717/0001-46";1120;"BANCO DO ESTADO DE SERGIPE SA"
"04.913.711/0001-08";1171;"BANCO DO ESTADO DO PARÁ S/A."
"06.833.131/0001-36";1198;"BANCO DO ESTADO DO PIAUÍ S.A. - BEP"
"92.702.067/0001-96";1210;"BANCO DO ESTADO DO RIO GRANDE DO SUL SA"
"07.237.373/0001-20";1228;"BANCO DO NORDESTE DO BRASIL SA"
"22.531.842/0001-02";1236;"BANCO DO PROGRESSO S.A."
"15.124.464/0001-87";1244;"BANCO ECONOMICO SA - EM LIQUIDAÇÃO EXTRAJUDICIAL"
"52.940.319/0001-09";1252;"BANCO FENICIA SA"
"33.098.518/0001-69";6092;"BANCO FININVEST SA"
"53.518.684/0001-84";12521;"BANCO HSBC S.A."
"53.518.684/0001-84";19755;"BANCO HSBC S.A."
"31.895.683/0001-16";21377;"BANCO INDUSTRIAL DO BRASIL"
"00.416.968/0001-01";24406;"BANCO INTER S.A."
"92.723.550/0001-57";914;"BANCO ITABANCO S/A"
"17.298.092/0001-30";1082;"BANCO ITAU BBA  S.A."
"49.925.225/0001-48";3590;"BANCO ITAULEASING S.A."
"17.184.037/0001-10";1325;"BANCO MERCANTIL BRASIL SA"
"34.169.557/0001-72";1309;"BANCO MERCANTIL DE INVESTIMENTOS S.A."
"61.065.421/0001-95";1317;"BANCO MERCANTIL DE SÃO PAULO SA"
"30.723.886/0001-62";25755;"BANCO MODAL S.A."
"17.157.777/0001-67";1350;"BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
"43.073.394/0001-10";19828;"BANCO NOSSA CAIXA S/A"
"59.285.411/0001-13";21199;"BANCO PAN SA"
"62.144.175/0001-20";20567;"BANCO PINE S/A"
"62.307.848/0001-15";21466;"BANCO RCI BRASIL S.A."
"17.156.514/0001-33";1392;"BANCO REAL SA"
"58.160.789/0001-28";1406;"BANCO SAFRA S/A"
"90.400.888/0001-42";20532;"BANCO SANTANDER (BRASIL) S.A."
"60.700.556/0001-12";1368;"BANCO SANTANDER NOROESTE SA"
"33.517.640/0001-22";868;"BANCO SANTANDER S.A."
