"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"13.017.462/0001-63";18996;"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A"
"07.282.377/0001-20";24864;"ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A."
"07.282.377/0001-20";24864;"ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A."
"28.201.130/0001-01";24589;"ENERGISA TRANSMISSÃO DE ENERGIA S.A."
"00.751.913/0001-40";15032;"ENERTEL ENERGIA TELEC PART SA"
"04.423.567/0001-21";21237;"ENEVA S.A."
"56.991.888/0001-26";5649;"ENGESA ENGO ESPECIALIZADOS SA"
"33.144.940/0001-03";5657;"ENGEVIX ENGENHARIA SA"
"02.474.103/0001-19";17329;"ENGIE BRASIL ENERGIA S.A."
"02.474.103/0001-19";17329;"ENGIE BRASIL ENERGIA S.A."
"02.474.103/0001-19";17329;"ENGIE BRASIL ENERGIA S.A."
"60.835.105/0001-92";12106;"ENIA INDUSTRIAS QUIMICAS SA"
"16.922.038/0001-51";25259;"ENJOEI S.A."
"32.803.503/0001-91";26131;"ENTALPIA PARTICIPAÇÕES S.A."
"26.664.057/0001-89";24341;"ENTREVIAS CONCESSIONÁRIA DE RODOVIAS S.A."
"09.527.023/0001-23";26271;"ENVIRONMENTAL ESG PARTICIPAÇÕES S.A."
"88.611.975/0001-05";12211;"ENXUTA SA"
"12.394.936/0001-23";23078;"EOX ENERGIA EÓLICA S.A."
"03.701.830/0001-34";19321;"EPILIFE EMPREENDIMENTOS E PART S/A"
"02.302.098/0001-67";17000;"EPTE-EMPR. PTA TRANS. ENERG. ELETR. S.A."
"03.220.438/0001-73";20010;"EQUATORIAL ENERGIA S/A"
"06.272.793/0001-84";16608;"EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A."
"04.895.728/0001-80";18309;"EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A."
"26.845.702/0001-60";24457;"EQUATORIAL TRANSMISSORA 7 SPE S.A."
"27.967.244/0001-02";24481;"EQUATORIAL TRANSMISSORA 8 SPE S.A."
"33.067.745/0001-27";5690;"ERICSSON TELECOMUNICACOES SA"
"92.749.167/0001-78";5703;"ERNESTO NEUGEBAUER SA IND REU"
"60.501.533/0001-89";5720;"ESCRITORIO CONS ENG ECEL SA"
"20.514.555/0001-69";26670;"ESPERANZA TRANSMISSORA DE ENERGIA S.A."
"07.155.310/0001-24";5738;"ESPLANADA CONF NE SA ESPLANORD"
"07.344.740/0001-94";5746;"ESPLANADA HOTEIS SA"
"04.946.406/0001-12";5754;"ESTACON ENGENHARIA SA"
"30.311.067/0001-08";24619;"ESTTEIO COMPANHIA SECURITIZADORA DE CRÉDITOS"
"61.092.037/0001-81";5762;"ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL"
"56.643.018/0001-66";5770;"EUCATEX SA IND E COMERCIO"
"61.190.096/0001-92";26700;"EUROFARMA LABORATÓRIOS S.A."
"61.190.096/0001-92";26700;"EUROFARMA LABORATÓRIOS S.A."
"61.190.096/0001-92";26700;"EUROFARMA LABORATÓRIOS S.A."
"42.290.403/0001-62";12289;"EUROLEASE SA ARREND MERCANTIL"
"43.470.988/0001-65";20524;"EVEN CONSTRUTORA E INCORPORADORA S/A"
"91.820.068/0001-72";13412;"ÉVORA S.A."
"95.426.862/0001-97";1570;"EXCELSIOR ALIMENTOS SA."
"35.727.157/0001-06";25380;"EZ INC INCORPORAÇÕES COMERCIAIS S.A."
"08.312.229/0001-73";20770;"EZ TEC EMPREEND. E PARTICIPAÇÕES S/A"
"82.639.535/0001-71";5800;"FAB CHOCOLATE SATURNO SA"
"10.831.642/0001-96";2666;"FAB DA PEDRA SA FIAÇÃO E TECELAGEM"
"22.671.564/0001-99";5851;"FAB MIN ELETROD SOLD DENVER SA"
"15.147.507/0001-40";5835;"FAB VASELINA DA BAHIA SA"
"33.064.262/0001-79";5860;"FABRIMAR SA IND E COMERCIO"
"07.281.413/0001-30";5878;"FAE - FERRAGENS APARELHOS ELÉTRICOS S/A"
"09.337.210/0001-44";21660;"FAE ADM. E PARTICIPAÇÕES SA"
"79.430.682/0001-22";25429;"FARMÁCIA E DROGARIA NISSEI S.A."
"02.091.165/0001-41";17736;"FAROL DO LAGO SA"
"89.007.009/0001-38";5886;"FAROL SA IND GAUCHA FAR OLEOS"
"62.528.930/0001-70";5894;"FATOR EMPREENDIMENTOS IMOBILIÁRIOS SA"
"43.709.435/0001-12";5908;"FATSUI BRASIL SA EMP GERAL MIN"
"33.160.839/0001-46";6157;"FB EMPREENDIMENTOS SA"
"23.538.796/0001-36";5916;"FECULARIA BARBOSA MELLO SA"
"74.409.467/0001-26";15024;"FENICIAPAR S/A"
"61.196.564/0001-36";5924;"FERRAGENS DEMELLOT S/A"
"12.489.315/0001-23";22977;"FERREIRA GOMES ENERGIA S.A."
"00.924.429/0001-75";15369;"FERROVIA CENTRO ATLANTICA SA"
"09.257.877/0001-37";21814;"FERROVIA NORTE SUL S/A"
"43.081.082/0001-59";5932;"FERTIBASE SA"
"61.442.109/0001-73";5940;"FERTIBRAS SA"
"22.266.175/0001-88";20621;"FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL"
"60.398.989/0001-65";6742;"FERTILIZANTES SERRANA SA"
"61.549.754/0001-90";5959;"FERTIPLAN SA"
"94.845.930/0001-90";5967;"FERTISUL SA"
"61.377.230/0001-69";12599;"FERTIZA CIA NAC FERTILIZANTES"
"02.312.666/0001-00";17043;"FG TRUST SA"
"17.159.005/0001-64";5983;"FIACAO E TECELAGEM SAO JOSE S/A - EM RECUPERAÇÃO JUDICIAL"
"04.559.803/0001-31";5975;"FIACAO TECELAGEM JUTA AMAZ SA"
"02.335.514/0001-23";16896;"FIAGO PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO"
"61.410.395/0001-95";6017;"FIBAM CIA INDUSTRIAL - EM RECUPERAÇÃO JUDICIAL"
"06.018.000/0001-03";19542;"FIBRA CIA SECURITIZADORA CRED IMOB"
"71.590.798/0001-17";14885;"FIBRA LEASING SA ARREND MERC"
"11.136.660/0001-10";6637;"FIBRASIL TEXTIL SA"
"60.643.228/0001-21";12793;"FIBRIA CELULOSE S.A."
"73.847.253/0001-79";16780;"FICAP SA"
"61.157.764/0001-80";6025;"FICHET SA"
"61.065.447/0001-33";8974;"FIEL SA MOVEIS EQUIPS INDS"
"32.230.245/0001-00";14222;"FIGAR SA"
"31.907.982/0001-23";24732;"FILADÉLFIA SECURITIZADORA S/A."
"17.167.412/0001-13";3891;"FINANCEIRA ALFA S.A.- C.F.I"
"58.128.927/0001-91";6050;"FINANCIADORA BCN SA CFI"
"60.495.108/0001-24";6068;"FINANCIADORA BRADESCO SA CFI"
"91.669.747/0001-92";6076;"FINANSINOS S/A-CRÉDITO, FINAN. E INVEST."
"47.896.709/0001-80";6084;"FINASA LEASING ARRENDAMENTO MERCANTIL SA"
"47.178.918/0001-99";4952;"FINAÚSTRIA ARRENDAMENTO MERCANTIL S.A."
"47.178.918/0001-99";18830;"FINAÚSTRIA ARRENDAMENTO MERCANTIL S.A."
"16.103.773/0001-33";23116;"FINPAR PARTICIPAÇÕES S.A."
"21.987.030/0001-03";23639;"FINSBURY PARTICIPAÇÕES S.A."
"33.010.786/0001-87";12432;"FISCHER SA COM IND AGRICULTURA"
"12.297.305/0001-96";6114;"FIVES LILLE INDL NORDESTE SA"
"92.779.461/0001-22";6122;"FLAMEX SA IND COM EXP IMP"
"60.840.055/0001-31";21881;"FLEURY SA"
"10.851.805/0001-00";24350;"FLEX GESTÃO DE RELACIONAMENTO S.A."
"51.159.713/0001-33";11916;"FLEXDISC TECNOLOGIA SA"
"07.276.103/0001-28";21423;"FLORESTAL BRASIL S.A."
"01.492.670/0001-35";16667;"FLYNET SA"
"60.889.193/0001-05";6149;"FNV VEICULOS EQUIPS SA"
"26.735.020/0001-02";25488;"FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A."
"14.333.683/0001-03";23019;"FONTAINE VILLE PARTICIPAÇÕES S/A"
"03.870.455/0005-80";23736;"FORNO DE MINAS ALIMENTOS S.A."
"00.249.786/0001-85";14796;"FORPART S.A. - EM LIQUIDAÇÃO"
"12.979.898/0001-70";22489;"FORTE SECURITIZADORA S.A."
"21.610.416/0001-00";23566;"FORTUNATO SECURITIZADORA S.A."
"21.987.053/0001-18";23655;"FOURSTONES PARTICIPAÇÕES S.A."
"21.987.041/0001-93";23663;"FOXFIELD PARTICIPAÇÕES S.A."
"07.823.262/0001-03";26697;"FOZ DO RIO CLARO ENERGIA S.A."
"10.661.519/0001-74";21873;"FRAME SECURITIZADORA S/A"
"06.082.564/0001-05";6190;"FRANCISCO CASTRO CI E AGRIC SA"
"91.374.561/0001-06";11967;"FRANGOSUL SA AGRO AVICOLA INDL"
"88.610.126/0001-29";6211;"FRAS-LE SA"
"51.466.753/0001-28";12084;"FREIOS VARGA SA"
"83.188.110/0001-56";6246;"FRICASA ALIMENTOS SA"
"21.987.068/0001-86";23647;"FRIESTON PARTICIPAÇÕES S.A."
"60.883.212/0001-96";6220;"FRIGOBRAS CIA BRAS FRIGORIFICO"
"14.962.356/0001-10";22853;"FRIGOL FOODS PARTICIPAÇÕES S.A."
"22.662.951/0001-69";6262;"FRIGORIFICO NORTE MINAS SA"
"82.902.461/0001-14";6270;"FRIL FRIGORIF DA LUZ SA"
"13.504.691/0001-02";6297;"FRUTOS TROPICAIS SA"
"17.234.244/0001-31";23370;"FTL - FERROVIA TRANSNORDESTINA LOGÍSTICA S.A."
"22.669.972/0001-06";6300;"FUJI ELETRIC NORDESTE SA"
"61.152.047/0001-65";6319;"FUJIWARA HISATO SA COM IND"
"17.943.792/0001-30";26336;"FULWOOD S.A."
"91.866.053/0001-45";13340;"FUNDIROSSI SA METALURGIA FINA"
"02.465.783/0001-04";17388;"FUTURETEL S.A. - EM LIQUIDAÇÃO"
"01.545.826/0001-07";16101;"GAFISA SA"
"01.376.239/0001-23";16012;"GAFISA SPE-1 SA"
"20.646.442/0001-17";24040;"GAIA CRED SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A."
"14.876.090/0001-93";22764;"GAIA IMPACTO SECURITIZADORA S.A."
"02.796.775/0001-40";17965;"GAMA PARTICIPAÇÕES S.A."
"02.312.126/0001-27";16969;"GANGES PARTICIPACOES SA"
"57.014.334/0001-31";11371;"GARANCE TEXTILE SA"
"30.148.829/0001-05";12718;"GARPA SA"
"42.584.326/0001-53";6360;"GARRA PARTICIPACOES SA"
"02.134.838/0001-01";16756;"GARUDA SA"
"11.193.684/0001-01";23418;"GÁVEA SECURITIZADORA S.A."
"50.747.732/0001-18";14400;"GAZETA MERCANTIL SA"
"88.611.983/0001-43";6378;"GAZOLA SA INDÚSTRIA METALURGICA"
"01.472.666/0001-05";16071;"GC ADM DE RECEBIVEIS SA"
"60.688.736/0001-26";6386;"GEB VIDIGAL SA"
"06.920.516/0001-30";6394;"GECOSA I INT GERVASIO COSTA SA"
"04.920.633/0001-79";6408;"GELAR SA INDS ALIMENTICIAS"
"61.090.072/0001-61";6424;"GEMA SA EQUIPS INDUSTRIAIS"
"59.275.792/0001-50";6432;"GENERAL MOTORS SA"
"08.764.621/0001-53";21008;"GENERAL SHOPPING E OUTLETS DO BRASIL S.A."
"08.764.621/0001-53";21008;"GENERAL SHOPPING E OUTLETS DO BRASIL S.A."
"02.808.710/0001-78";18031;"GEODEX COMMUNICATIONS S.A."
"33.143.025/0001-01";6440;"GEOTECNICA SA"
"60.405.446/0001-28";5630;"GERAL DE CONCRETO S/A"
"33.611.500/0001-19";3980;"GERDAU S.A."
"89.011.738/0001-68";12785;"GERDAU SERV INFORMATICA SA GSI"
"79.114.203/0001-69";6459;"GERMANI CIA PARANAENSE ALIMS"
"42.171.157/0001-20";6467;"GESTIO SA COMERCIO E INDUSTRIA"
"33.311.366/0001-30";6475;"GETEC GUANABARA QUIM INDL SA"
"10.440.482/0001-54";26140;"GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A."
"14.127.813/0001-51";25887;"GETNINJAS S.A."
"61.196.119/0001-76";12939;"GIANNINI SA"
"61.338.042/0001-21";6483;"GLASSLITE SA IND DE PLASTICOS"
"05.330.331/0001-03";19402;"GLOBAL BRASIL SA"
"01.245.375/0001-84";15776;"GLOBAL TRUST SA"
"07.095.028/0001-07";19712;"GODOI SECURITIES - CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS"
"06.164.253/0001-87";19569;"GOL LINHAS AEREAS INTELIGENTES SA"
"06.164.253/0001-87";19569;"GOL LINHAS AEREAS INTELIGENTES SA"
"58.507.286/0001-86";20737;"GOLDFARB INCORPORAÇÕES E CONSTRUÇÕES S/A"
"60.946.035/0001-40";6530;"GOYANA SA I BRAS MATS PLASTS"
"42.360.925/0001-93";6548;"GPC INDUSTRIA E COMERCIO SA"
"21.903.297/0001-75";23876;"GPR - PINHEIRO & RINALDO CAPITAL S.A."
"09.229.201/0001-30";25712;"GPS PARTICIPAÇÕES E EMPREENDIMENTOS S/A"
"14.191.427/0001-29";25321;"GRANBIO INVESTIMENTOS S.A."
"61.247.854/0001-61";6564;"GRANIMAR SA MARMORES GRANITOS"
"88.925.029/0001-25";6572;"GRANOLEO SA CI SEMS OLEAGS DER"
"00.313.162/0001-80";15016;"GRAPIA SA"
"87.377.016/0001-04";12904;"GRAVATAI SUL SA"
"92.012.467/0001-70";4537;"GRAZZIOTIN SA"
"89.850.341/0001-60";19615;"GRENDENE SA"
"01.258.945/0001-70";15695;"GRUÇAI PARTICIPAÇÕES SA"
"10.285.590/0001-08";25011;"GRUPO DE MODA SOMA S.A."
"04.972.092/0001-22";26166;"GRUPO FARTURA DE HORTIFRUT S.A."
"24.990.777/0001-09";25186;"GRUPO MATEUS S.A."
"24.990.777/0001-09";25186;"GRUPO MATEUS S.A."
"13.217.485/0001-11";24694;"GRUPO SBF S.A."
"08.397.078/0001-01";26603;"GSH CORP PARTICIPAÇÕES S.A."
"00.649.881/0001-76";14915;"GTD PARTICIPACOES SA"
"08.402.943/0001-52";4669;"GUARARAPES CONFECÇÕES SA"
"08.810.422/0001-34";26115;"GUARARAPES PAINÉIS S.A."
"30.788.149/0001-48";24562;"GUARDIAN COMPANHIA SECURITIZADORA"
"58.962.275/0001-96";13382;"GURGEL MOTORES SA"
"62.278.783/0001-27";12050;"GURGEL SA PARTICIPACOES"
"03.420.904/0001-64";20117;"GVT HOLDING S/A"
"10.737.120/0001-20";6610;"GYPSUM DO NE SA IC DE GESSO"
"09.304.427/0001-58";21628;"HABITASEC SECURITIZADORA SA"
"30.540.991/0001-66";13366;"HAGA S.A. INDÚSTRIA E COMÉRCIO"
"34.111.187/0001-12";13960;"HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A."
"05.197.443/0001-38";24392;"HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A."
"05.197.443/0001-38";24392;"HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A."
"13.407.573/0001-86";22578;"HARPIA ÔMEGA PARTICIPAÇÕES S.A."
"56.444.250/0001-75";14850;"HAUSCENTER SA"
"14.785.152/0001-51";25402;"HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A."
"49.263.189/0001-02";20877;"HELBOR EMPREENDIMENTOS S/A"
"92.749.225/0001-63";6629;"HERCULES S/A - FABRICA DE TALHERES"
"82.647.942/0001-20";13137;"HERING SA BRINQ INST MUSICAIS"
"12.648.327/0001-53";22675;"HIDROVIAS DO BRASIL S.A."
"60.904.810/0001-02";6661;"HINDI CIA BRAS DE HABITACOES"
"39.393.829/0001-37";25364;"HLASA PARTICIPAÇÕES S.A."
"40.159.947/0001-64";25674;"HMOBI PARTICIPAÇÕES S.A"
"61.150.397/0001-92";12335;"HOECHST BRASIL QUIM FARM SA"
"60.861.788/0001-52";6670;"HOECHST BRASIL SA QUIM FARM"
"18.903.785/0001-78";26565;"HOLDING DO ARAGUAIA S.A."
"23.864.409/0001-51";26689;"HOLDING VERZANI & SANDRINI S.A."
"00.924.432/0001-99";15377;"HOPI HARI SA"
"02.560.878/0001-07";26468;"HOSPITAL ANCHIETA S.A."
"25.249.439/0001-83";25771;"HOSPITAL CARE CALEDONIA S.A."
"00.949.959/0001-78";15466;"HOSPITAL LA SANTE SA"
"16.676.520/0001-59";25690;"HOSPITAL MATER DEI S.A."
"33.858.168/0001-91";6696;"HOTEIS E TURISMO GUANABARA SA"
"33.200.049/0001-47";6700;"HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL"
"82.602.426/0001-80";6718;"HOTEIS TANNENHOF SA"
"15.675.715/0001-11";25313;"HOUSI S.A."
"60.891.751/0001-77";6734;"HOWA S.A. INDUSTRIAS MECANICAS"
"12.827.269/0001-25";24376;"HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A"
"34.262.972/0001-76";8915;"HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN"
"34.262.972/0001-76";15210;"HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN"
"44.847.374/0001-12";736;"HSBC LEASING A.M.(BRASIL) SA"
"76.538.446/0001-36";728;"HSBC SEGUROS BRASIL SA"
"67.760.702/0001-44";14095;"HSBX BAURU EMPREENDIMENTOS SA"
"50.991.421/0001-08";12149;"HUMAITA SA"
"40.760.921/0001-77";25968;"HUMAITA SECURITIZADORA S/A"
"18.483.666/0001-03";25933;"HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A"
"84.685.189/0001-93";13218;"HUSKY SA"
"01.180.474/0001-25";15580;"HYDE PARK SA"
"02.932.074/0001-91";21431;"HYPERA S/A"
"34.270.520/0001-36";14257;"IBM LEASING ARREND MERC SA"
"17.157.264/0001-56";6785;"ICAL IND DE CALCINACAO SA"
"10.969.780/0001-36";6793;"ICANOR SA ARAMES E CABOS"
"49.058.555/0001-83";13692;"IDEROL SA EQUIPS RODOVIARIOS"
"49.867.112/0001-33";6807;"IFEMA SA I DE CONDS ELETRICOS"
"43.185.362/0001-07";6815;"IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL"
"42.353.180/0001-35";26727;"IGUÁ RIO DE JANEIRO S.A."
"08.159.965/0001-33";22403;"IGUA SANEAMENTO S.A."
"08.159.965/0001-33";23175;"IGUA SANEAMENTO S.A."
"81.304.727/0001-64";15113;"IGUACU CELULOSE PAPEL SA"
"51.218.147/0001-93";20494;"IGUATEMI EMPRESA DE SHOPPING CENTERS S/A"
"60.543.816/0001-93";8672;"IGUATEMI S.A."
"60.484.797/0001-71";7420;"IKPC INDS KLABIN PAPEL CEL SA"
"78.571.411/0001-24";21318;"IMCOPA-IMPORTAÇÃO, EXPORT E IND DE OLEOS SA"
"92.783.646/0001-00";6831;"IMCOSUL SA"
"33.123.118/0001-66";14567;"IMPERIO LISAMAR SA IND E COM"
"04.893.996/0001-62";6840;"IMPORTADORA DE FERRAGENS SA"
"61.081.972/0001-42";6874;"INBRAC SA CONDUTORES ELETRICOS"
"09.054.385/0001-44";22560;"INBRANDS SA"
"15.126.626/0001-16";6955;"IND AZULEJOS BAHIA SA"
"15.102.692/0001-56";6912;"IND BAHIANA DE LAJES SA"
"04.393.401/0001-00";6963;"IND BEBS ANTARCTICA AMAZ  SA"
"17.317.686/0001-41";6971;"IND BEBS ANTARCTICA MG SA"
"23.536.691/0001-48";3581;"IND BEBS ANTARCTICA MG SA"
"32.993.529/0001-40";13684;"IND BEBS ANTARCTICA MT SA"
"15.182.652/0001-61";6980;"IND BEBS ANTARCTICA NORTE-NORDESTE SA"
"09.259.821/0001-11";13188;"IND BEBS ANTARCTICA PARAIBA SA"
"05.234.760/0001-87";6998;"IND BEBS ANTARCTICA PIAUI SA"
"95.424.479/0001-08";7005;"IND BEBS ANTARCTICA POLAR SA"
"08.473.852/0001-08";13668;"IND BEBS ANTARCTICA RN SA"
"04.932.265/0001-89";6920;"IND BIOL FARMACEUTICA AMAZ SA"
"89.716.138/0001-03";7013;"IND CALCADOS ERNO SA"
"04.990.958/0001-28";6947;"IND CERAMICA AMAZONIA SA INCA"
"95.814.083/0001-69";7072;"IND DE MAQS AGRICOLAS IDEAL SA"
"51.329.092/0001-99";7102;"IND DE PAPEL PIRACICABA SA"
"90.724.345/0001-80";7064;"IND MAQS AGRICOLAS FUCHS SA"
"28.053.387/0001-63";9920;"IND MASSAS E BISCOITOS ALCOBAÇA SA"
"30.819.585/0001-37";7218;"IND METALURGICA IGUACU SA"
"61.085.544/0001-98";12645;"IND OLEOS PACAEMBU SA"
"15.891.435/0001-40";7080;"IND PAPEIS SANTO AMARO SA"
"60.432.648/0001-69";7099;"IND PAPEL PAPELAO S.ROBERTO SA"
"84.430.610/0001-15";7269;"IND TEXTIL JARITA SA"
"92.690.817/0001-57";7277;"INDAC - INDÚSTRIA, ADM. E COMÉRCIO S.A."
"92.750.132/0001-59";7285;"INDL ARTE TECNICA S.A."
"01.003.635/0001-05";15954;"INDL BRASIL ARREND MERC SA"
"92.721.315/0001-46";7307;"INDL E COML BRAS SA INCOBRASA"
"18.135.624/0001-81";7340;"INDS ALIMCS ITACOLOMY SA ITASA"
"09.886.995/0001-04";7358;"INDS ALIMENTICIAS MAGUARY SA"
"62.291.380/0001-18";15881;"INDS ARTEB SA"
"86.046.562/0001-91";7366;"INDS ARTEFAMA SA"
"61.142.063/0001-77";7374;"INDS C FABRINI SA"
"56.993.645/0001-27";7390;"INDS CHOCOLATE LACTA S/A"
"10.728.806/0001-54";7382;"INDS COELHO SA"
"31.901.382/0001-58";12068;"INDS DE BEBS JOAQUIM T A F SA"
"08.397.697/0001-98";7404;"INDS JOSSAN SA"
"06.061.105/0001-37";7412;"INDS KARINA SA"
"60.873.874/0001-85";7439;"INDS MADEIRIT SA"
"10.775.468/0001-01";7455;"INDS MINERVA SA"
"43.995.323/0001-75";7463;"INDS MONSANTO SA"
"00.322.818/0001-20";5606;"INDS NUCLEARES DO BRASIL SA"
"06.283.477/0001-08";7471;"INDS QUIMICAS NORTE SA"
"10.810.653/0001-90";7501;"INDS ROMI DO NORDESTE SA"
"84.685.106/0001-66";7528;"INDS SCHNEIDER SA"
"71.444.681/0001-25";7536;"INDS TEXTEIS BARBERO SA"
"28.500.320/0001-20";12866;"INDÚSTRIA VEROLME S.A. - IVESA"
"88.301.163/0001-55";7447;"INDUSTRIAS MICHELETTO S/A"
"56.720.428/0001-63";7510;"INDÚSTRIAS ROMI S.A."
"02.225.714/0001-23";16730;"INEPAR ENERGIA SA"
"02.258.422/0001-97";17868;"INEPAR EQUIPAMENTOS E MONTAGENS S.A. - EM RECUPERAÇÃO JUDICIAL"
"76.627.504/0001-06";7595;"INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL"
"07.704.069/0001-45";21288;"INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A"
"01.596.910/0001-41";16314;"INFOVIAS PNSC SA"
"38.456.921/0001-36";25747;"INFRACOMMERCE CXAAS S.A."
"10.488.244/0001-19";21750;"INFRASEC SECURITIZADORA S/A"
"02.604.860/0001-60";17558;"INNCORP S.A."
"19.378.769/0001-76";24090;"INSTITUTO HERMES PARDINI S/A"
"19.378.769/0001-76";24090;"INSTITUTO HERMES PARDINI S/A"
"82.901.000/0001-27";25453;"INTELBRAS S.A."
"12.395.063/0001-73";23043;"INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO"
"09.611.768/0001-76";24279;"INTER CONSTRUTORA E INCORPORADORA S.A"
"80.246.812/0001-50";16179;"INTERAGRO SA ALIMENTOS"
"62.258.884/0001-36";19631;"INTERCEMENT BRASIL SA"
"62.258.884/0001-36";25992;"INTERCEMENT BRASIL SA"
"12.610.116/0001-21";22888;"INTERCOSMETIC HOLDING S/A"
"12.394.916/0001-52";23086;"INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL"
"17.314.329/0001-20";23574;"INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A."
"08.936.792/0001-12";21890;"INTERNATIONAL MEAL COMPANY HOLDINGS, SA"
"08.936.792/0001-12";22438;"INTERNATIONAL MEAL COMPANY HOLDINGS, SA"
"05.347.060/0001-07";26387;"INTERPLAYERS SOLUÇÕES INTEGRADAS S.A."
"42.461.046/0001-58";7609;"INVESPAR SA"
"03.758.318/0001-24";18775;"INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR"
"03.758.318/0001-24";18775;"INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR"
"00.644.907/0001-93";18589;"INVESTCO S/A"
"46.112.488/0001-40";12505;"INVESTEC SA"
"02.983.657/0001-41";18570;"INVESTHOTEL S.A."
"01.548.981/0001-79";6041;"INVESTIMENTOS BEMGE S.A."
"02.869.385/0001-53";18120;"INVESTMOBILE SA"
"02.812.190/0001-77";18384;"INVESTVALE SERVIÇOS S.A."
"00.021.096/0001-74";18791;"INVISTA NYLON SUL AMERICANA S/A"
"10.242.478/0001-81";21687;"INVITEL LEGACY SA"
"02.465.782/0001-60";17396;"INVITEL SA"
"61.156.113/0001-75";11932;"IOCHPE-MAXION SA"
"61.156.113/0001-75";11932;"IOCHPE-MAXION SA"
"61.156.113/0001-75";11932;"IOCHPE-MAXION SA"
"06.263.438/0001-49";7498;"IOSA INDÚSTRIA DE ÓLEO E SABÃO S/A"
"88.939.236/0001-39";12300;"IPIRANGA PETROQUIMICA SA"
"11.029.196/0001-63";7641;"IPLAC DO BR SA PLASTICOS INDL"
"92.387.018/0001-06";13463;"IRANI AGROFLORESTAL SA"
"92.791.243/0001-03";2429;"IRANI PAPEL E EMBALAGEM S.A."
"33.376.989/0001-91";24180;"IRB - BRASIL RESSEGUROS S.A."
"33.376.989/0001-91";24180;"IRB - BRASIL RESSEGUROS S.A."
"01.545.832/0001-56";16110;"IRIRI PARTICIPACOES SA"
"52.769.783/0001-76";7650;"IRMAOS DAVOLI SA IMP E COM"
"09.295.979/0001-47";21458;"IRONX MINERAÇÃO S/A"
"15.121.064/0001-18";7668;"IRPESA SA IND METALURGICA"
"08.075.006/0001-30";20427;"ISA CAPITAL DO BRASIL SA"
"13.407.617/0001-78";22624;"ISOLUX INFRASTRUCTURE SA"
"01.355.994/0001-21";18910;"ITA ENERGETICA S/A"
"00.987.716/0001-24";15601;"ITABAPOANA PARTICIPACOES SA"
"27.184.951/0001-14";7692;"ITAGUASSU AGRO INDUSTRIAL S/A"
"01.258.943/0001-81";15865;"ITAITINGA PARTICIPACOES SA"
"77.558.948/0001-91";7706;"ITAMARATY FILTROS DE PAPEL SA"
"13.575.295/0001-76";7722;"ITAPARICA SA EMPREEND TURIST"
"02.397.080/0001-96";19364;"ITAPEBI GERAÇÃO DE ENERGIA S/A"
"86.442.951/0001-36";7730;"ITAPIRUBA HOTEIS E TURISMO SA"
"08.219.477/0001-74";23213;"ITAQUI GERAÇÃO DE ENERGIA S.A."
"02.180.133/0001-12";17019;"ITAÚ RENT ADM. E PARTICIPAÇÕES S.A."
"60.872.504/0001-23";1279;"ITAÚ UNIBANCO HOLDING S.A."
"60.872.504/0001-23";19348;"ITAÚ UNIBANCO HOLDING S.A."
"60.701.190/0001-04";1287;"ITAU UNIBANCO S.A."
"43.443.464/0001-85";1821;"ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT"
"61.532.644/0001-15";7617;"ITAUSA S.A."
"61.532.644/0001-15";7617;"ITAUSA S.A."
