"DT_REFER";"CD_CVM";"DENOM_CIA";"COLUNA_DF";"VL_CONTA"
2010;21903;"ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.";"Patrimônio Líquido";579511
2010;80098;"LAEP INVESTMENTS LTD";"Patrimônio Líquido";-35852
2010;21520;"MULTINER S/A";"Patrimônio Líquido";324657
2010;22438;"INTERNATIONAL MEAL COMPANY HOLDINGS S/A";"Patrimônio Líquido";514743
2010;80080;"AGRENCO LIMITED";"Patrimônio Líquido";-601482
2010;22560;"INBRANDS S.A.";"Patrimônio Líquido";278753
2010;21342;"OSX BRASIL S.A.";"Patrimônio Líquido";2388710
2010;22110;"OMEGA ENERGIA RENOVÁVEL S/A";"Patrimônio Líquido";193813
2010;21261;"MONTICIANO PARTICIPAÇÕES S/A";"Patrimônio Líquido";274300
2010;22519;"TECHNOS S.A.";"Patrimônio Líquido";132499
2010;21610;"B3 S.A. - BRASIL, BOLSA, BALCÃO";"Patrimônio Líquido";19402765
2010;21792;"CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS E DERIVATIVOS";"Patrimônio Líquido";949034
2010;21806;"AGV HOLDING S/A";"Patrimônio Líquido";104606
2010;21652;"CTX PARTICIPAÇÕES S/A";"Patrimônio Líquido";78034
2010;22691;"CIA LOCAÇÃO DAS AMÉRICAS";"Patrimônio Líquido";137294
2010;22144;"CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.";"Patrimônio Líquido";652874
2010;22187;"PETRO RIO S.A.";"Patrimônio Líquido";2660457
2010;21741;"ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.";"Patrimônio Líquido";-453
2010;21776;"CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A";"Patrimônio Líquido";42456
2010;22500;"BRASIL PHARMA S.A.";"Patrimônio Líquido";49227
2010;80110;"DUFRY A.G.";"Patrimônio Líquido";1306532
2010;22756;"SAAG INVESTIMENTOS S.A.";"Patrimônio Líquido";393039
2010;22365;"ENAUTA PARTICIPAÇÕES S.A.";"Patrimônio Líquido";622303
2010;22217;"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.";"Patrimônio Líquido";334489
2010;22497;"QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.";"Patrimônio Líquido";1611846
2010;21067;"MOURA DUBEUX ENGENHARIA S/A";"Patrimônio Líquido";283855
2010;22128;"REDENTOR ENERGIA S/A";"Patrimônio Líquido";539895
2010;22292;"STEIN SP II PARTICIPAÇÕES S.A.";"Patrimônio Líquido";170709
2010;1120;"BCO ESTADO DE SERGIPE S.A. - BANESE";"Patrimônio Líquido";195086
2010;9784;"PRONOR PETROQUIMICA SA";"Patrimônio Líquido";155874
2010;9857;"QGN PARTICIPAÇÕES SA";"Patrimônio Líquido";44944
2010;4359;"ELEKEIROZ S.A.";"Patrimônio Líquido";465917
2010;1597;"PARTICIPAÇÕES INDUST. DO NORDESTE S.A.";"Patrimônio Líquido";89723
2010;12696;"SANSUY S.A. INDUSTRIA DE PLASTICOS";"Patrimônio Líquido";-190705
2010;21156;"J. MACEDO S.A.";"Patrimônio Líquido";296443
2010;4863;"CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA";"Patrimônio Líquido";8757
2010;11398;"TRONOX PIGMENTOS DO BRASIL S.A.";"Patrimônio Líquido";349738
2010;3069;"CIA FERRO LIGAS DA BAHIA - FERBASA";"Patrimônio Líquido";1027114
2010;3115;"CIA SEGUROS ALIANCA DA BAHIA";"Patrimônio Líquido";171955
2010;8745;"METANOR SA METANOL DO NE";"Patrimônio Líquido";67890
2010;13986;"SUZANO S.A.";"Patrimônio Líquido";8640671
2010;22349;"AREZZO INDÚSTRIA E COMÉRCIO S.A.";"Patrimônio Líquido";146218
